caseidx,PhoneNumber,Trt,MobileCredit
86506,555906543/,1,40GHS
86712,249365212/,1,40GHS
86805,548503525/,1,40GHS
86808,247403669/,1,40GHS
86814,248728704/,1,40GHS
87404,505142179/,1,40GHS
87604,246354244,1,40GHS
87605,541497708/,1,40GHS
87608,245746950/,1,40GHS
88007,545850151/,1,40GHS
88211,553164711/,1,40GHS
88502,547398769/,1,40GHS
88504,548683318/,1,40GHS
89012,247831304/,1,40GHS
89112,549936911/,1,40GHS
89303,541264352/,1,40GHS
89410,500132444/,1,40GHS
89514,506111487/,1,40GHS
89803,246180176/,1,40GHS
90109,557816199/,1,40GHS
90110,541027728/,1,40GHS
90212,202246410,1,40GHS
90310,245392159/,1,40GHS
90615,243334255/,1,40GHS
90814,209410466,1,40GHS
91312,248154103/,1,40GHS
92010,205172278,1,40GHS
92113,208570468/,1,40GHS
93006,542632410/,1,40GHS
93309,263230430/,1,40GHS
94106,500511834/,1,40GHS
94408,241384645/,1,40GHS
94707,241763126,1,40GHS
95214,240617725,1,40GHS
95315,543089770/,1,40GHS
95514,241973176,1,40GHS
96115,544363580,1,40GHS
96406,203783579/,1,40GHS
96413,206546308/,1,40GHS
97206,202332100/,1,40GHS
97402,207190178/,1,40GHS
97810,241402928,1,40GHS
98012,543321103,1,40GHS
99415,542194258/,1,40GHS
