caseidx,PhoneNumber,Trt,MobileCredit
86712,PII,1,40GHS
86805,PII,1,40GHS
86808,PII,1,40GHS
86814,PII,1,40GHS
87404,PII,1,40GHS
87604,PII,1,40GHS
87605,PII,1,40GHS
87608,PII,1,40GHS
88007,PII,1,40GHS
88211,PII,1,40GHS
88502,PII,1,40GHS
88504,PII,1,40GHS
89012,PII,1,40GHS
89112,PII,1,40GHS
89303,PII,1,40GHS
89410,PII,1,40GHS
89514,PII,1,40GHS
89803,PII,1,40GHS
90109,PII,1,40GHS
90110,PII,1,40GHS
90212,PII,1,40GHS
90310,PII,1,40GHS
90615,PII,1,40GHS
90814,PII,1,40GHS
91312,PII,1,40GHS
92010,PII,1,40GHS
92113,PII,1,40GHS
93006,PII,1,40GHS
93309,PII,1,40GHS
94106,PII,1,40GHS
94408,PII,1,40GHS
94707,PII,1,40GHS
95214,PII,1,40GHS
95315,PII,1,40GHS
95514,PII,1,40GHS
96115,PII,1,40GHS
96406,PII,1,40GHS
96413,PII,1,40GHS
97206,PII,1,40GHS
97402,PII,1,40GHS
97810,PII,1,40GHS
98012,PII,1,40GHS
99415,PII,1,40GHS
