caseidx,PhoneNumber,Trt,MobileCredit,Wave
95711,PII,2,20GHS,1
95811,PII,2,20GHS,1
96215,PII,2,20GHS,1
96708,PII,2,20GHS,1
97509,PII,2,20GHS,1
97605,PII,2,20GHS,1
97905,PII,2,20GHS,1
98003,PII,2,20GHS,1
99105,PII,2,20GHS,1
99603,PII,2,20GHS,1
100012,PII,2,20GHS,1
